Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-06-30 0:00:00,9187.85,9199.77,9166.46,9179,40.77,374505.72,9186.02
2020-06-30 1:00:00,9173.56,9201.95,9153.92,9197,74.13,680286.58,9177.19
2020-06-30 2:00:00,9197.29,9199.97,9169.8,9177.19,45.48,417523.09,9180.98
2020-06-30 3:00:00,9181.72,9183.4,9157.36,9161.94,27.65,253578.78,9170.29
2020-06-30 4:00:00,9157.36,9178.67,9155.83,9157.2,29.07,266463.6,9165.27
2020-06-30 5:00:00,9159.39,9166.37,9115.98,9121.04,103.88,949161.72,9136.66
2020-06-30 6:00:00,9126.73,9160,9110,9146.48,276.32,2525002.57,9137.85
2020-06-30 7:00:00,9146.56,9150.44,9122.24,9141.69,200.37,1829957.71,9132.96
2020-06-30 8:00:00,9136.56,9141.69,9114.6,9131.52,86.51,789889.19,9130.27
2020-06-30 9:00:00,9131.52,9170.62,9129.65,9152.06,78.68,720346.01,9155.42
2020-06-30 10:00:00,9150.4,9171.96,9141.73,9152.82,110.78,1013944.82,9152.76
2020-06-30 11:00:00,9146.92,9161.58,9129.31,9146.66,64.02,585492.71,9144.96
2020-06-30 12:00:00,9150.18,9150.18,9107.81,9122.27,310.26,2833302.54,9131.95
2020-06-30 13:00:00,9118.29,9154.12,9060,9132.56,385.49,3510266.08,9106
2020-06-30 14:00:00,9127.16,9182.97,9124.07,9178.19,131.74,1206238.28,9156.44
2020-06-30 15:00:00,9182.97,9192.25,9155.49,9164.08,126.72,1162563.3,9174.52
2020-06-30 16:00:00,9170.65,9182.63,9152.56,9177.72,51.95,476293.6,9169.04
2020-06-30 17:00:00,9177.48,9177.71,9124.6,9146.8,248.44,2271251.5,9142.21
2020-06-30 18:00:00,9146.8,9150,9124,9130.23,92.01,840882.58,9138.55
2020-06-30 19:00:00,9125,9155.46,9089.8,9137.69,89.19,813772.46,9123.82
2020-06-30 20:00:00,9130.01,9160,9129.32,9151.69,35.23,322159.17,9143.62
2020-06-30 21:00:00,9148.4,9172.21,9142.11,9158.57,57.64,527927.87,9159.81
2020-06-30 22:00:00,9162.58,9164.71,9120.96,9131.17,57.42,524810.96,9140.07
2020-06-30 23:00:00,9130.32,9158.83,9130,9132.96,57.88,529142.57,9142.51
2020-07-01 0:00:00,9136.89,9136.89,9089.8,9118.19,159.94,1457228.99,9110.81
2020-07-01 1:00:00,9125.57,9132.01,9096.62,9118.04,62.07,565658.69,9113.57
2020-07-01 2:00:00,9118.04,9147.99,9113.52,9133.34,77.31,706011.43,9132.78
2020-07-01 3:00:00,9138.64,9141.01,9113.26,9137.31,89.9,820591.97,9127.99
2020-07-01 4:00:00,9137.3,9164.89,9136.64,9149.82,117.75,1077673.83,9151.99
2020-07-01 5:00:00,9149.82,9154.56,9133.09,9140.74,41.56,379968.42,9143.7
2020-07-01 6:00:00,9148.54,9152.39,9126.02,9136.23,122.29,1117738.83,9139.76
2020-07-01 7:00:00,9141.64,9157.05,9131.61,9133.5,158.46,1449260.19,9146.18
2020-07-01 8:00:00,9133.5,9193.48,9131.84,9174.01,458.82,4206870.37,9168.89
2020-07-01 9:00:00,9169.63,9184.91,9151.82,9165.13,151.07,1385390.98,9170.6
2020-07-01 10:00:00,9166.24,9175.77,9139.01,9150.75,138.67,1269059.5,9151.5
2020-07-01 11:00:00,9145.32,9164.29,9133.85,9164.02,99.98,914464.6,9146.25
2020-07-01 12:00:00,9158.45,9171.96,9134.69,9171.1,89.9,822677.17,9151.33
2020-07-01 13:00:00,9166.37,9262.11,9153.27,9206.82,631.04,5815884.07,9216.33
2020-07-01 14:00:00,9215.16,9257.55,9211.04,9225.05,407.82,3766183.16,9234.85
2020-07-01 15:00:00,9228.37,9275.47,9219.8,9275.47,220.79,2042737,9251.88
2020-07-01 16:00:00,9274.81,9300,9244.25,9287.95,371.15,3444209.6,9279.9
2020-07-01 17:00:00,9290.41,9298.09,9268.43,9286.71,205.94,1912885.27,9288.49
2020-07-01 18:00:00,9291.65,9293.92,9250,9261.51,129.83,1203626.08,9270.82
2020-07-01 19:00:00,9257.28,9300,9238.22,9245.79,229.8,2130412.26,9270.61
2020-07-01 20:00:00,9241.53,9263.92,9235.96,9240.88,94.46,873804.21,9250.42
2020-07-01 21:00:00,9236.04,9254,9222.01,9243.35,141.98,1311320.4,9236.16
2020-07-01 22:00:00,9239.33,9249.3,9215.16,9248.61,87.13,804640.01,9235.26
2020-07-01 23:00:00,9246.58,9254.83,9227.45,9233.38,33.91,313510.44,9245.45
2020-07-02 0:00:00,9230.97,9252.48,9222.99,9234.55,53.34,492891.61,9240.13
2020-07-02 1:00:00,9231.25,9254.83,9225.05,9254.83,33.94,313604.08,9240.35
2020-07-02 2:00:00,9253.38,9268.54,9243.21,9245.09,41.14,380917.72,9259.03
2020-07-02 3:00:00,9245.09,9257.62,9236.35,9239.8,10.77,99564.77,9246.85
2020-07-02 4:00:00,9239.8,9251.67,9231.11,9243.96,29.82,275609.72,9242.2
2020-07-02 5:00:00,9241.82,9258.53,9205,9214.49,220.23,2032877.32,9230.69
2020-07-02 6:00:00,9209.42,9215.71,9177.46,9206.29,356.07,3273895.62,9194.45
2020-07-02 7:00:00,9200.59,9220.88,9196.89,9211.04,120.58,1110397.12,9208.85
2020-07-02 8:00:00,9206.86,9222.99,9170.23,9207.37,258.74,2378359.47,9191.97
2020-07-02 9:00:00,9205.26,9225.35,9198.71,9211.27,232.56,2142346.74,9211.83
2020-07-02 10:00:00,9211.27,9213.7,9183.82,9202.4,130.32,1198460.59,9196.18
2020-07-02 11:00:00,9208.31,9208.6,9170.97,9199.91,77.59,712950.42,9188.17
2020-07-02 12:00:00,9192.61,9251.21,9182.97,9242,204.85,1887189.57,9212.54
2020-07-02 13:00:00,9249.06,9260,9225.33,9248.22,253.21,2340557.55,9243.56
2020-07-02 14:00:00,9256.15,9259.36,9193.46,9194.07,470.26,4339340.38,9227.55
2020-07-02 15:00:00,9194.99,9194.99,9033.45,9043.55,1215.38,11037078,9081.18
2020-07-02 16:00:00,9043.55,9065.73,8939,9035.72,1563.8,14078599.05,9002.82
